id,name,service_type,phone,owner_email,website_url,instagram,address,city,state,lat,lon,data_source,outreach_status,fetched_at
cl:7542478863:miami,"Labor,Yardwork,Moving, Junk Removal, Pressure Cleaning,Paint",mover,(754) 247-8863,,https://www.craigslist.org/view/d/fort-lauderdale-laboryardworkmoving/hpkX7tjHivUwosLVqzJCpy,,Tamarac Broward,Miami,FL,26.212,-80.2696,craigslist,new,2026-08-04T15:10:09.776+00:00
cl:5612257409:miami,labor/mover,mover,(561) 225-7409,,https://www.craigslist.org/view/d/fort-lauderdale-labor-mover/rC8peG8DfSh6s9SYaf4fZD,,DADE BROWARD AND PALM BEACH COUNTIES,Miami,FL,26.181563,-80.226202,craigslist,new,2026-08-04T15:10:09.771+00:00
cl:8886499978:miami,"Now Why You Going to Risk Hiring Unlicensed, Uninsured Movers🤔are You",mover,(888) 649-9978,,https://www.craigslist.org/view/d/miami-now-why-you-going-to-risk-hiring/xdvnQzfXgzmUr8Pj45t5sd,,Call or Text 888-649-9978 www.shieldsmovers.net/booking,Miami,FL,25.7791,-80.1978,craigslist,new,2026-08-04T15:10:09.771+00:00
cl:3055022986:miami,Mr West moving and junk removal services ☎️305-502-2986 labor $40 hour Miami,mover,(305) 502-2986,,https://www.craigslist.org/view/d/fort-lauderdale-mr-west-moving-and-junk/dAPYZhnGhmf2hdcs2mhxjs,,South Florida,Miami,FL,26.1692,-80.3101,craigslist,new,2026-08-04T15:10:09.766+00:00
cl:9546810142:miami,★Moving TODAY or Day After $85 p/h 2 Pro movers & TRUCK local mover,mover,(954) 681-0142,,https://www.craigslist.org/view/d/fort-lauderdale-moving-today-or-day/r8EkoVMsEXjNkd9TmNZ3t1,,ALL SOUTH FLORIDA. LICENSED & INSURED,Miami,FL,26.1793,-80.2746,craigslist,new,2026-08-04T15:10:09.762+00:00
cl:2295832580:miami,"🏠Junk Removal, Household Trash Removal. [Insured] (786) 540-8589 🏠",mover,(229) 583-2580,,https://www.craigslist.org/view/d/miami-junk-removal-household-trash/h9Hzy5GNidULXtwXQUr9ZF,,"Dade, Broward",Miami,FL,25.9441,-80.2144,craigslist,new,2026-08-04T15:10:09.76+00:00
cl:7738412702:miami,LOCAL PAINTER/ 5 star rating & $175 PER ROOM,mover,(773) 841-2702,,https://www.craigslist.org/view/d/fort-lauderdale-local-painter-star/fpKLqhaUtVCGdi3xVeKxoM,,"Ft Lauderdale, Dania Beach, Davie",Miami,FL,26.1216,-80.1288,craigslist,new,2026-08-04T15:10:09.758+00:00
cl:9549103369:miami,-❄️AC Repair | Freon | Air Condition Service (954)-910-3369,mover,(954) 910-3369,,https://www.craigslist.org/view/d/hollywood-ac-repair-freon-air-condition/4bLJt1aa8CVpd7874Mj4YW,,🔥 $29 -COOL TODAY ⤵️🔥 SAME DAY -FREE CHECK UP W. REPAIR 🔥,Miami,FL,25.9894,-80.2153,craigslist,new,2026-08-04T15:10:09.758+00:00
cl:8554227738:miami,Need Flooring Installation? Carpet Vinyl plank Laminate Hardwood Floor,mover,(855) 422-7738,,https://www.craigslist.org/view/d/west-palm-beach-need-flooring/s6MriSMTRzS3PB1vexwB6j,,☎️ 🐊 Call 855-4-CARPET 🐊  ☎️,Miami,FL,26.7492,-80.0725,craigslist,new,2026-08-04T15:10:09.758+00:00
cl:nexuswebdesignstudio@gmail.com:doral,Affordable Website Design for Small Businesses — $150 starting,barber,,nexuswebdesignstudio@gmail.com,https://www.craigslist.org/view/d/homestead-affordable-website-design-for/kotbXGBsiwu2rri7V9xyPu,,South Florida,Doral,FL,25.4766,-80.4839,craigslist,new,2026-08-04T15:09:58.632+00:00
