id,name,service_type,phone,owner_email,website_url,instagram,address,city,state,lat,lon,data_source,outreach_status,fetched_at
gmap:ChIJRYuO_tux2YgR0Yot9D75yjg,"Hijama Miami - Dry Cupping, Deep Stretching, and Wet Cupping Therapy.",stretch therapist,(305) 645-0657,,,,"2915 Biscayne Blvd, Miami, FL 33137",Miami,Florida,25.8044981,-80.1892029,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJHdQizaK32YgReLfg32TvYiU,ASR Sports Medicine Brickell,stretch therapist,(305) 984-1155,,https://asrsportsmedicine.com/,,"1106 S Miami Ave #201, Miami, FL 33130",Miami,Florida,25.7632277,-80.1933283,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJ6_QlqGa32YgR0q0rbuBL5Hg,Stretch Zone,stretch therapist,(305) 235-1999,,https://www.stretchzone.com/locations/brickell/,,"1390 Brickell Ave Ste 102, Miami, FL 33131",Miami,Florida,25.7606523,-80.1926555,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJHbaiBIi22YgRi9ehwr04XYY,Skanda Yoga Studio,stretch therapist,(786) 567-8124,,http://www.skandayogastudio.com/,,"1800 SW 1st Ave #102, Miami, FL 33129",Miami,Florida,25.7580426,-80.1991177,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJHcaRoau22YgRHwCY_rlO6ls,Fox Physical Therapy,stretch therapist,(305) 735-8901,,https://foxpt.com/,,"162 NE 25th St #103, Miami, FL 33137",Miami,Florida,25.8006645,-80.1911604,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJDZd4dqi22YgRqBYblX38cxs,DeNatura Wellness,stretch therapist,(305) 814-9818,,https://www.denatura.com/,,"2831 S Bayshore Dr, Miami, FL 33133",Miami,Florida,25.7293556,-80.2385542,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJH0_XQG232YgRqU2z0N9rxDk,Helix Performance Recovery,stretch therapist,(305) 539-0222,,https://helixperformancerecovery.com/,,"77 NE 24th St, Miami, FL 33137",Miami,Florida,25.800114,-80.1931295,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJaaye6q212YgRYR7CL0STwKA,One&Fit Outdoor Stretch,stretch therapist,(786) 227-7252,,http://www.oneandfit.com/,,"1745 N Bayshore Dr, Miami, FL 33132",Miami,Florida,25.7935309,-80.1857629,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJk_AMtBW32YgRFhLp1a1yHnM,WynWellness,stretch therapist,(786) 899-0595,,https://wynwellness.com/,,"4770 Biscayne Blvd #610, Miami, FL 33137",Miami,Florida,25.8187665,-80.1883019,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJJeQrnoSx2YgRbJn-rf8hsxM,Sila Miami,stretch therapist,(305) 224-6399,,https://silamiami.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=main_button,,"5030 NE 2nd Ave Unit 405, Miami, FL 33137",Miami,Florida,25.8217694,-80.1919418,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJqQdykcC30YgRK5xABBgRqMc,Temple Lioness,stretch therapist,(941) 993-4433,,https://templelioness.com/temple-home-1,,"7630 NE 1st Ave, Miami, FL 33138",Miami,Florida,25.8453196,-80.1954544,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJS0EzTY-x2YgR6MFZvNGKjT0,Primal Fit Miami,stretch therapist,(305) 951-6648,,https://primalfitmiami.com/,,"8200 NE 2nd Ave, Miami Shores, FL 33138",Miami Shores,Florida,25.8499579,-80.1930793,google_lsa,new,2026-08-08T00:16:47.161+00:00
gmap:ChIJ-aVScC232YgRakSwJ3ZvaXc,Infinity Delta,stretch therapist,(786) 591-7586,,http://infinitydelta.io/,,"310 NE 61st St, Miami, FL 33137",Miami,Florida,25.832267,-80.1898853,google_lsa,new,2026-08-08T00:16:47.161+00:00
