id,name,service_type,phone,owner_email,website_url,instagram,address,city,state,lat,lon,data_source,outreach_status,fetched_at
igs:juiceelectricalcontracting:statenisland,Juice Electrical Contracting,electrician,,office@juiceelectricalnyc.com,https://juiceelectricalnyc.com/,juiceelectricalcontracting,,Staten Island,NY,,,ig_services,new,2026-08-05T19:31:01.23+00:00
igs:bmcleanup:bronx,B&M Clean Up,junk removal,,sales@bmcleanup.com,http://bmcleanup.com/,bmcleanup,,Bronx,NY,,,ig_services,new,2026-08-05T17:17:10.229+00:00
igs:eli_car_keys_nyc:bronx,Eli Car Keys,locksmith,,elicarkeys@gmail.com,https://elicarkeys.com/,eli_car_keys_nyc,,Bronx,NY,,,ig_services,new,2026-08-05T17:16:52.517+00:00
igs:jayy.faded:bronx,NYC BARBER•Jay Silver,barber,,jxyyfaded@gmail.com,,jayy.faded,,Bronx,NY,,,ig_services,new,2026-08-05T17:16:07.206+00:00
igs:bronxthebarber:bronx,Raleigh NC Barber | Bronx Moore,barber,,contactbronxmoore@gmail.com,http://www.bronxmoore.com/haircuts,bronxthebarber,,Bronx,NY,,,ig_services,new,2026-08-05T17:16:06.104+00:00
igs:bronxbarberbielsko:bronx,BRONX BARBER SHOP,barber,,biurobronxbarber@gmail.com,https://bronxbarber.pl/,bronxbarberbielsko,,Bronx,NY,,,ig_services,new,2026-08-05T17:16:04.816+00:00
igs:organizeny:bronx,OrganizeNY,home organizer,,juli@organizeny.com,https://linktr.ee/organizeny,organizeny,,Bronx,NY,,,ig_services,new,2026-08-05T17:02:19.491+00:00
igs:bnb_junkremoval:brooklyn,Better‘N’Beyond Junk Removal,junk removal,,bnbjunkremoval47@gmail.com,,bnb_junkremoval,,Brooklyn,NY,,,ig_services,new,2026-08-05T16:48:04.532+00:00
igs:ilovejunk2016:brooklyn,Miguel Innocent,junk removal,,postale1995@gmail.com,,ilovejunk2016,,Brooklyn,NY,,,ig_services,new,2026-08-05T16:48:04.384+00:00
igs:bmcleanup:brooklyn,B&M Clean Up,junk removal,,sales@bmcleanup.com,http://bmcleanup.com/,bmcleanup,,Brooklyn,NY,,,ig_services,new,2026-08-05T16:48:03.904+00:00
igs:rssconstructionfl:doral,RSS Construction,handyman,,info@rssconstructionfl.com,https://wa.me/13055867645?countryName=US&countryCode=1&phoneNumber=3055867645,rssconstructionfl,,Doral,FL,,,ig_services,new,2026-08-05T16:47:59.675+00:00
igs:queenquiata:queens,Quiata Mitchell | Virtual Assistant & Project Manager,personal assistant,,qmitchell@queensvaservices.com,https://mealboosters.com/,queenquiata,,Queens,NY,,,ig_services,new,2026-08-05T16:47:35.131+00:00
igs:victoriahiegel:manhattan,Victoria Hiegel,personal assistant,,teamvictoriahiegel@gersh.com,https://shopmy.us/victoriahiegel,victoriahiegel,,Manhattan,NY,,,ig_services,new,2026-08-04T15:10:42.809+00:00
igs:organizeny:newyork,OrganizeNY,home organizer,,juli@organizeny.com,https://linktr.ee/organizeny,organizeny,,New York,NY,,,ig_services,new,2026-08-04T15:10:14.901+00:00
igs:nycneat_louisa:newyork,NEAT Method New York City | NYC Pro Organizers,home organizer,,louisa@neatmethod.com,http://neatmethod.com,nycneat_louisa,,New York,NY,,,ig_services,new,2026-08-04T15:10:14.781+00:00
igs:manhattannannies:manhattan,Manhattan Nannies,babysitter,,florence@manhattannannies.com,https://bio.site/manhattannannies,manhattannannies,,Manhattan,NY,,,ig_services,new,2026-08-04T15:10:11.156+00:00
igs:nybuiltconstruction:manhattan,nybuiltconstruction,contractor,,,http://www.nybuilt.com,nybuiltconstruction,,Manhattan,NY,,,ig_services,new,2026-08-01T18:00:16.349+00:00
igs:infinity_construction_nyc:manhattan,Infinity Construction NYC,contractor,,,,infinity_construction_nyc,,Manhattan,NY,,,ig_services,new,2026-08-01T18:00:16.262+00:00
igs:dashconstructioninc:manhattan,Dash Construction Inc,contractor,,,http://www.dashconstructioninc.com/,dashconstructioninc,,Manhattan,NY,,,ig_services,new,2026-08-01T18:00:16.179+00:00
igs:thefit_contractor:manhattan,Keeks,contractor,,,https://linktr.ee/caolfhain,thefit_contractor,,Manhattan,NY,,,ig_services,new,2026-08-01T18:00:16.085+00:00
igs:manhattancontractor:manhattan,NI Construction Corp.,contractor,,,http://www.niconstruction.com/,manhattancontractor,,Manhattan,NY,,,ig_services,new,2026-08-01T18:00:15.995+00:00
igs:manhattanconcretenyc:manhattan,Manhattan Concrete,contractor,,,https://www.manhattanconcrete.nyc/,manhattanconcretenyc,,Manhattan,NY,,,ig_services,new,2026-08-01T18:00:15.923+00:00
igs:get.it.re.done:manhattan,re:done,contractor,,,http://www.getitredone.com/,get.it.re.done,,Manhattan,NY,,,ig_services,new,2026-08-01T18:00:15.827+00:00
igs:harrys_contracting_inc:manhattan,Harry K.,contractor,,,,harrys_contracting_inc,,Manhattan,NY,,,ig_services,new,2026-08-01T18:00:15.72+00:00
igs:manhattanconstruction:manhattan,Manhattan Construction,contractor,,,http://www.manhattanconstructiongroup.com/,manhattanconstruction,,Manhattan,NY,,,ig_services,new,2026-08-01T18:00:15.624+00:00
igs:simpleelectricllc:manhattan,Simple Electric LLC,electrician,,,,simpleelectricllc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:59:28.337+00:00
igs:mmcontrolwiring:manhattan,M&M Control Wiring & Elec.,electrician,,,http://www.mmcwelectrical.com/,mmcontrolwiring,,Manhattan,NY,,,ig_services,new,2026-08-01T17:59:17.328+00:00
igs:egjinajnyc:manhattan,Enri Gjinaj,electrician,,,,egjinajnyc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:58:32.085+00:00
igs:bluemaxplumbinginc:manhattan,Blue Max Plumbing Inc.,plumber,,,,bluemaxplumbinginc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:46:53.633+00:00
igs:manhattanplumbing:manhattan,Manhattan Plumbing & Gas fitting,plumber,,,,manhattanplumbing,,Manhattan,NY,,,ig_services,new,2026-08-01T17:46:53.633+00:00
igs:plumbing.nyc:manhattan,Plumbing NYC,plumber,,,http://plumbingnyc.com/,plumbing.nyc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:46:53.633+00:00
igs:manhattan.plumbing:manhattan,Manhattan Plumbing and Heating,plumber,,,,manhattan.plumbing,,Manhattan,NY,,,ig_services,new,2026-08-01T17:46:53.633+00:00
igs:plumbix_nyc:manhattan,Plumbix NYC,plumber,,,https://24hourplumbernewyorkcity.com,plumbix_nyc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:46:53.633+00:00
igs:plumbingnewyork:manhattan,𝙽𝙾𝙽𝚂𝚃𝙾𝙿 𝙿𝙻𝚄𝙼𝙱𝙴𝚁𝚂 𝙲𝙾𝚁𝙿,plumber,,,https://g.page/r/CRM6EtuAvhLjEAI/review,plumbingnewyork,,Manhattan,NY,,,ig_services,new,2026-08-01T17:46:53.632+00:00
igs:maidinmanhattan1:manhattan,Maid in Manhattan,housekeeper,,,http://www.maidinmanhattan.com/,maidinmanhattan1,,Manhattan,NY,,,ig_services,new,2026-08-01T17:45:33.119+00:00
igs:prepdowntownmanhattan:manhattan,Prep Academy Tutors of Downtown Manhattan,tutor,,,https://www.thebalygroup.com/college-admissions-event,prepdowntownmanhattan,,Manhattan,NY,,,ig_services,new,2026-08-01T17:45:09.447+00:00
igs:mathgeeks.mb:manhattan,Math Geeks,tutor,,,http://mathgeeks.com/,mathgeeks.mb,,Manhattan,NY,,,ig_services,new,2026-08-01T17:45:09.447+00:00
igs:ajc10005:manhattan,Adam Cole,personal trainer,,,,ajc10005,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:35.562+00:00
igs:marioortizfit:manhattan,NYC Personal Trainer | Manhattan,personal trainer,,,https://marioortizfit.com/,marioortizfit,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:35.562+00:00
igs:alina_alinkina:manhattan,Personal Trainer | Strength & Pilates | BKLYN- Manhattan,personal trainer,,,,alina_alinkina,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:35.562+00:00
igs:nourishing.ny:manhattan,Nourishing New York,nutritionist,,,http://nourishingny.com/links,nourishing.ny,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:34.358+00:00
igs:studentnutritionist:manhattan,Student Nutritionist Risa,nutritionist,,,https://www.rootednutritionandwellness.com/,studentnutritionist,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:34.358+00:00
igs:manhattanbeachfitness:manhattan,Angela Amiri | NASM CPT & Certified 50+ Nutritionist,nutritionist,,,https://www.leanandcleanreset.com/offers/nYcgcrVX/checkout,manhattanbeachfitness,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:34.358+00:00
igs:realnutrition:manhattan,"Amy Shapiro MS, RD, NYC Certified Dietitian & Nutritionist 🌱",nutritionist,,,https://tr.ee/gg1tfb1kwX,realnutrition,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:34.358+00:00
igs:juha_rdn:manhattan,Juha | Dietitian 임상영양사,nutritionist,,,,juha_rdn,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:34.358+00:00
igs:alex_folacci:manhattan,Alex Folacci 🗽Personal Trainer NYC,personal trainer,(337) 257-8893,alex.folacci@gmail.com,https://www.alexfolacci.com/,alex_folacci,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:19.94+00:00
igs:coach_shimizu:manhattan,Ryan Shimizu | Manhattan Beach Trainer,personal trainer,(661) 476-1725,hello@motionperformancestudio.com,https://www.motionperformancestudio.com,coach_shimizu,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:19.939+00:00
igs:typeatraining:manhattan,TYPE A TRAINING - NYC,personal trainer,(604) 698-7719,,https://linktr.ee/typeatraining,typeatraining,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:19.939+00:00
igs:fastandfurryous.nyc:manhattan,Hila • NYC Pet Sitter 🐾,pet sitter,,,,fastandfurryous.nyc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:04.448+00:00
igs:laurens.besties:manhattan,Lauren | Bestie | NYC Pet Sitter,pet sitter,(254) 535-2419,,http://laurensbesties.com,laurens.besties,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:04.448+00:00
igs:mhkpetsitter:manhattan,Jennifer Wege,pet sitter,(785) 210-4947,,https://www.mhkpetsitter.com,mhkpetsitter,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:04.448+00:00
igs:100petsnyc:manhattan,Julia | nyc dog walker,pet sitter,,,,100petsnyc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:04.448+00:00
igs:nyc_petcare:manhattan,Jennifer Ag,pet sitter,,,http://www.nycpetcare.com/,nyc_petcare,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:04.448+00:00
igs:katieskittynyc:manhattan,Katie’s Kitty💜NYC Pet Sitting,pet sitter,(455) 354-0000,,https://katieskitty.com/,katieskittynyc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:04.448+00:00
igs:petnannynyc:manhattan,Pet Nanny NYC- Dog Walking | Pet Sitting,pet sitter,(646) 883-1010,team@latofonts.com,https://thepetnannynyc.com/,petnannynyc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:44:04.448+00:00
igs:dog.trainer.stephanie:manhattan,Stephanie Ip | Force Free NYC Dog Trainer,dog trainer,(608) 495-3128,user@domain.com,https://www.dogtraining.nyc/,dog.trainer.stephanie,,Manhattan,NY,,,ig_services,new,2026-08-01T17:31:50.55+00:00
igs:amandagagnondogtraining:manhattan,Amanda Gagnon Dog Training NYC,dog trainer,(540) 327-3288,info@amandagagnondogtraining.com,https://www.amandagagnondogtraining.com,amandagagnondogtraining,,Manhattan,NY,,,ig_services,new,2026-08-01T17:31:50.55+00:00
igs:stacyalldredgedogs:manhattan,Stacy Alldredge Dog Training,dog trainer,(986) 964-3846,wwwdogs@me.com,https://whoswalkingwhodogtraining.com/collections/training-videos,stacyalldredgedogs,,Manhattan,NY,,,ig_services,new,2026-08-01T17:31:50.55+00:00
igs:raisethewoofdogtraining:manhattan,Raise The Woof Dog Training NYC,dog trainer,,,http://www.raisethewoofnyc.com/,raisethewoofdogtraining,,Manhattan,NY,,,ig_services,new,2026-08-01T17:31:50.55+00:00
igs:dogrelations_nyc:manhattan,Elisabeth Weiss | Dog Trainer,dog trainer,(975) 071-8541,info@dogrelations.eu,https://dogrelations.eu/,dogrelations_nyc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:31:50.55+00:00
igs:nancegold:manhattan,Nancy Pato Goldberg | Manhattan and NJ Dog Trainer,dog trainer,(223) 819-2011,,https://www.amazon.com/shop/nancypatogoldberg?linkCode=spc&tag=ronaldgoldber-20,nancegold,,Manhattan,NY,,,ig_services,new,2026-08-01T17:31:50.55+00:00
igs:barkville_nyc:manhattan,Maya | NYC Dog Trainer,dog trainer,,,,barkville_nyc,,Manhattan,NY,,,ig_services,new,2026-08-01T17:31:50.549+00:00
igs:heather_rubinstein:newyork,Heather Bause Rubinstein,painter,,,https://heatherbause.com/,heather_rubinstein,,New York,NY,,,ig_services,new,2026-08-01T17:30:46.515+00:00
igs:luxurylivecanvas:newyork,Live Painter Orlando New York,painter,,helloluxurylivecanvas@gmail.com,https://linktr.ee/luxurylivecanvas,luxurylivecanvas,,New York,NY,,,ig_services,new,2026-08-01T17:30:46.515+00:00
igs:newyorkpaintersinc:newyork,New York Painters Inc.,painter,,,http://nypaintersinc.com,newyorkpaintersinc,,New York,NY,,,ig_services,new,2026-08-01T17:30:46.515+00:00
igs:artistjade7:newyork,Jade Chan,painter,(370) 744-8104,user@domain.com,https://www.jadechan.online/,artistjade7,,New York,NY,,,ig_services,new,2026-08-01T17:30:46.515+00:00
igs:suzannelafleurartist:newyork,Suzanne LaFleur · Colour Field Painter ( Susan Chaibane),painter,(254) 535-2419,,http://suzannelafleur.org,suzannelafleurartist,,New York,NY,,,ig_services,new,2026-08-01T17:30:46.515+00:00
igs:emilythingpaintings:newyork,Emily Thing - New York Painter,painter,,,http://emilythingpaintings.com/,emilythingpaintings,,New York,NY,,,ig_services,new,2026-08-01T17:30:46.515+00:00
igs:sk.cleaningsolutions:newyork,So klean - NYC Trusted Cleaning Experts| power washing services,pressure washing,(504) 511-0000,sokleansolutions1@gmail.com,https://linktr.ee/soklean,sk.cleaningsolutions,,New York,NY,,,ig_services,new,2026-08-01T17:16:25.903+00:00
igs:pressurewashingnyc1:newyork,Pressure Washing New York,pressure washing,,,,pressurewashingnyc1,,New York,NY,,,ig_services,new,2026-08-01T17:16:25.903+00:00
igs:institutdebeaute_nyc:newyork,Hair Salon | New York,hair stylist,(652) 293-6658,institutdebeautenyc@gmail.com,https://institutdebeautenyc.glossgenius.com/,institutdebeaute_nyc,,New York,NY,,,ig_services,new,2026-08-01T17:01:42.772+00:00
igs:nyc_hair_mira:newyork,𝙃𝘼𝙄𝙍 𝙎𝙏𝙔𝙇𝙄𝙎𝙏/𝙉𝙀𝙒 𝙔𝙊𝙍𝙆,hair stylist,(929) 584-6193,miramal123@gmail.com,https://app.squareup.com/appointments/book/id253rajr9cjg3/LTD344TTAJ0N6/start,nyc_hair_mira,,New York,NY,,,ig_services,new,2026-08-01T17:01:42.772+00:00
igs:wshairstyling:newyork,WS Hairstyling NYC,hair stylist,,,http://wshairstyling.com/,wshairstyling,,New York,NY,,,ig_services,new,2026-08-01T17:01:42.772+00:00
igs:yusefhairnyc:newyork,Yusef | Celebrity Hair Stylist,hair stylist,,humberto@forwardartists.com,http://ybyyusef.com/,yusefhairnyc,,New York,NY,,,ig_services,new,2026-08-01T17:01:42.772+00:00
igs:ionappliance:newyork,Appliance Repair NYC,appliance repair,(929) 512-9043,ionappliancerepair@gmail.com,https://www.appliancerepairnyc.nyc/,ionappliance,,New York,NY,,,ig_services,new,2026-08-01T15:46:15.833+00:00
igs:davidton_repairs:newyork,"DAVIDTON Appliance Repair in New York (Brooklyn, Manhattan)",appliance repair,,,http://davidtonrepairs.com,davidton_repairs,,New York,NY,,,ig_services,new,2026-08-01T15:46:15.833+00:00
igs:firstlineappliance:newyork,FirstLine Appliance Repair NYC,appliance repair,(929) 262-0287,,https://firstlineappliance.com,firstlineappliance,,New York,NY,,,ig_services,new,2026-08-01T15:46:15.833+00:00
igs:klia_ny_inc:newyork,KLIA NY Inc,appliance repair,(929) 577-3442,info@klianyinc.com,http://klianyinc.com,klia_ny_inc,,New York,NY,,,ig_services,new,2026-08-01T15:46:15.833+00:00
igs:nycprecision:newyork,Precision Appliance Services,appliance repair,(718) 266-2545,reapir@bklynservice.com,https://www.bklynservice.com/,nycprecision,,New York,NY,,,ig_services,new,2026-08-01T15:46:15.833+00:00
igs:appliance_repair_brooklyn:newyork,Appliance Repair Brooklyn,appliance repair,(347) 754-6600,appliancerepairbrooklynnyc@gmail.com,http://appliancerepairbrooklynnyc.com/,appliance_repair_brooklyn,,New York,NY,,,ig_services,new,2026-08-01T15:46:15.832+00:00
igs:sunnylocksmith:newyork,sunny locksmith,locksmith,,sunnylocksmithny@gmail.com,http://www.sunnylocksmithny.com,sunnylocksmith,,New York,NY,,,ig_services,new,2026-08-01T15:38:30.677+00:00
igs:nylocksmithnetworkinc:newyork,New York Locksmith Networks Inc,locksmith,(347) 448-4322,mikedispatchoffice@gmail.com,http://www.findlocksmithny.com/,nylocksmithnetworkinc,,New York,NY,,,ig_services,new,2026-08-01T15:38:30.676+00:00
igs:nylocksmithnetworks:newyork,New York Locksmith Networks,locksmith,(347) 448-4322,mikedispatchoffice@gmail.com,https://www.findlocksmithny.com/,nylocksmithnetworks,,New York,NY,,,ig_services,new,2026-08-01T15:38:30.676+00:00
igs:citywideautolocksmith:newyork,New York Auto Locksmith: NYC Car Key Replacement Specialists,locksmith,(967) 849-8956,,http://citywidelockpicks.com,citywideautolocksmith,,New York,NY,,,ig_services,new,2026-08-01T15:38:30.676+00:00
igs:sunshine.landscaping.ct:newyork,Sunshine Landscaping,landscaping,,,https://sunshinelandscapingct.com/,sunshine.landscaping.ct,,New York,NY,,,ig_services,new,2026-08-01T15:37:09.524+00:00
igs:ivyleagueny:newyork,Ivy League,landscaping,(332) 262-7945,info@ivyleagueny.com,http://ivyleagueny.com,ivyleagueny,,New York,NY,,,ig_services,new,2026-08-01T15:36:58.024+00:00
igs:newyorkplantings:newyork,New York Plantings Garden Design and Landscaping,landscaping,(347) 558-7051,info@newyorkplantings.com,http://www.newyorkplantings.com,newyorkplantings,,New York,NY,,,ig_services,new,2026-08-01T15:36:58.024+00:00
igs:staghornnyc:newyork,Staghorn NYC Landscape Design,landscaping,(347) 674-3994,info@staghornnyc.com,http://www.staghornnyc.com,staghornnyc,,New York,NY,,,ig_services,new,2026-08-01T15:36:58.024+00:00
igs:cleaning_nyc.juliasteam:newyork,𝗖𝗟𝗘𝗔𝗡𝗜𝗡𝗚 𝗡𝗬 | 𝗛𝗢𝗨𝗦𝗘𝗞𝗘𝗘𝗣𝗜𝗡𝗚 | 𝗖𝗢𝗠𝗠𝗘𝗥𝗖𝗜𝗔𝗟,house cleaning,(929) 709-0907,juliasteaminc@gmail.com,https://juliasteam.com,cleaning_nyc.juliasteam,,New York,NY,,,ig_services,new,2026-08-01T15:36:40.598+00:00
